#	deviceModel: SM-R900	deviceOs: 11
1689660612082	2641600
1689660612124	2224752
1689660612163	2224705
1689660612203	2224705
1689660612243	2224724
1689660612283	2224694
1689660612324	2224662
1689660612363	1992495
1689660612403	1992497
1689660612444	1992519
1689660612484	2048796
1689660612525	2048959
1689660612564	2049109
1689660612604	2049187
1689660612644	2113349
1689660612684	2112577
1689660612725	2111948
1689660612765	2111582
1689660612805	2111098
1689660612845	2110468
1689660612885	2109809
1689660612927	2109238
1689660612966	2108800
1689660613006	2108406
1689660613046	2108215
1689660613086	2108152
1689660613127	2108101
1689660613167	2108025
1689660613207	2107944
1689660613247	2107841
1689660613287	2107140
1689660613328	2106103
1689660613368	2104941
1689660613408	2104028
1689660613448	2103261
1689660613488	2102608
1689660613529	2102177
1689660613569	2101736
1689660613609	2101267
1689660613649	2100858
1689660613689	2100509
1689660613730	2100229
1689660613770	2099980
1689660613810	2099793
1689660613850	2099602
1689660613891	2099444
1689660613932	2099056
1689660613971	2098261
1689660614011	2097054
1689660614051	2096035
1689660614092	2095264
1689660614133	2094571
1689660614172	2094036
1689660614212	2093528
1689660614253	2092998
1689660614293	2092377
1689660614334	2091837
1689660614373	2091421
1689660614414	2091147
1689660614454	2091015
1689660614494	2090912
1689660614535	2090808
1689660614575	2089980
1689660614615	2088917
1689660614655	2087929
1689660614696	2087179
1689660614737	2086603
1689660614776	2086157
1689660614816	2085773
1689660614856	2085402
1689660614896	2084991
1689660614937	2084597
1689660614977	2084260
1689660615017	2084034
1689660615057	2083887
1689660615097	2083796
1689660615138	2083752
1689660615177	2083562
1689660615217	2082727
1689660615257	2081829
1689660615298	2081254
1689660615339	2080716
1689660615378	2080389
1689660615418	2080187
1689660615458	2080032
1689660615498	2079900
1689660615539	2079700
1689660615579	2079575
1689660615619	2079513
1689660615659	2079512
1689660615699	2079540
1689660615740	2079636
1689660615780	2079786
1689660615820	2079816
1689660615860	2079209
1689660615900	2078298
1689660615942	2077552
1689660615981	2077030
1689660616021	2076709
1689660616061	2076592
1689660616101	2076489
1689660616143	2076385
1689660616182	2076243
1689660616222	2076123
1689660616262	2076112
1689660616303	2076133
1689660616344	2076222
1689660616383	2076401
1689660616423	2076597
1689660616463	2076617
1689660616503	2075987
1689660616545	2075219
1689660616584	2074687
1689660616624	2074336
1689660616665	2074197
1689660616705	2074201
1689660616746	2074247
1689660616785	2074232
1689660616826	2074230
1689660616866	2074284
1689660616906	2074380
1689660616947	2074490
1689660616987	2074700
1689660617027	2074952
1689660617067	2075089
1689660617107	2074667
1689660617149	2074062
1689660617188	2073649
1689660617228	2073424
1689660617269	2073402
1689660617309	2073506
1689660617350	2073590
1689660617390	2073702
1689660617429	2073782
1689660617469	2073879
1689660617510	2074098
1689660617551	2074317
1689660617590	2074595
1689660617630	2074868
1689660617670	2074980
1689660617710	2074529
1689660617751	2073959
1689660617790	2073548
1689660617831	2073081
1689660617871	2072997
1689660617911	2073305
1689660617952	2073499
1689660617991	2073726
1689660618031	2073873
1689660618071	2074035
1689660618112	2074260
1689660618153	2074525
1689660618192	2074840
1689660618232	2075172
1689660618272	2075502
1689660618313	2075556
1689660618354	2075158
1689660618393	2074757
1689660618433	2074580
1689660618473	2074491
1689660618513	2074540
1689660618555	2074696
1689660618594	2074910
1689660618634	2075101
1689660618674	2075277
1689660618715	2075515
1689660618756	2075768
1689660618795	2076093
1689660618835	2076417
1689660618875	2076779
1689660618916	2077160
1689660618957	2077572
1689660618996	2077643
1689660619036	2077308
1689660619077	2077019
