#	deviceModel: SM-R900	deviceOs: 11
1689650301322	629280
1689650301327	399501
1689650301337	399475
1689650301347	399479
1689650301357	399455
1689650301367	399436
1689650301379	399444
1689650301388	399460
1689650301398	399435
1689650301408	399447
1689650301418	399428
1689650301428	399438
1689650301439	399436
1689650301448	399423
1689650301458	399393
1689650301468	399396
1689650301480	399403
1689650301488	399414
1689650301499	399422
1689650301508	399418
1689650301519	399423
1689650301529	399375
1689650301539	399417
1689650301548	399415
1689650301560	399391
1689650301569	512963
1689650301581	512966
1689650301589	512982
1689650301599	512994
1689650301609	512955
1689650301619	512904
1689650301629	512787
1689650301639	512674
1689650301649	512624
1689650301659	512641
1689650301669	512681
1689650301680	512646
1689650301689	512621
1689650301700	907388
1689650301709	1003250
1689650301720	1003214
1689650301729	1003190
1689650301740	1003185
1689650301749	1003194
1689650301759	1003159
1689650301769	1003152
1689650301781	1003067
1689650301789	1003011
1689650301800	1003017
1689650301810	1002980
1689650301820	1002954
1689650301830	1002927
1689650301841	2026953
1689650301850	2013223
1689650301860	2013183
1689650301870	2013210
1689650301881	2013165
1689650301890	2013089
1689650301900	2013010
1689650301910	2012946
1689650301920	2012995
1689650301930	2013010
1689650301942	2012898
1689650301950	2012810
1689650301960	2012676
1689650301970	2012612
1689650301982	1949594
1689650301990	1993527
1689650302001	1993473
1689650302011	1993368
1689650302021	1993122
1689650302031	1992815
1689650302041	1992599
1689650302051	1992385
1689650302061	1992191
1689650302071	1992093
1689650302082	1991982
1689650302091	1991846
1689650302101	1991632
1689650302111	1991293
1689650302121	1990712
1689650302131	1989965
1689650302141	1989151
1689650302151	1988319
1689650302161	1987360
1689650302171	1986245
1689650302182	1985398
1689650302191	1984760
1689650302202	1984231
1689650302211	1983737
1689650302222	1983173
1689650302231	1982493
1689650302242	1981834
1689650302251	1981218
1689650302262	1980808
1689650302271	1980547
1689650302283	1980517
1689650302292	1980629
1689650302302	1980599
1689650302312	1980396
1689650302322	1980031
1689650302332	1979607
1689650302342	1979263
1689650302352	1978893
1689650302362	1978383
1689650302372	1977695
1689650302383	1976951
1689650302392	1975761
1689650302402	1974220
1689650302412	1973037
1689650302422	1972999
1689650302432	1973376
1689650302442	1973399
1689650302452	1972811
1689650302462	1971836
1689650302472	1971230
1689650302484	1971019
1689650302492	1970859
1689650302503	1970482
1689650302513	1969843
1689650302523	1969082
1689650302533	1968289
1689650302543	1967698
1689650302553	1967387
1689650302563	1967235
1689650302573	1967247
1689650302584	1967377
1689650302593	1967614
1689650302603	1967893
1689650302613	1967906
1689650302623	1967727
1689650302633	1967221
1689650302643	1966404
1689650302653	1965197
1689650302663	1964212
1689650302673	1963448
1689650302685	1963116
1689650302693	1963130
1689650302703	1963063
1689650302713	1962898
1689650302723	1962567
1689650302734	1962018
1689650302744	1961374
1689650302753	1961101
1689650302764	1961115
1689650302773	1961455
1689650302785	1962051
1689650302793	1962592
1689650302805	1963168
1689650302813	1963466
1689650302825	1963666
1689650302833	1963566
1689650302844	1963155
1689650302854	1962505
1689650302864	1961946
1689650302874	1961744
1689650302885	1961900
1689650302893	1962292
1689650302904	1962787
1689650302913	1963203
1689650302924	1963579
1689650302934	1963854
1689650302944	1963904
1689650302954	1963935
1689650302964	1963993
1689650302974	1964057
1689650302985	1963970
1689650302994	1963944
1689650303004	1963765
1689650303014	1963626
1689650303024	1963627
1689650303034	1963732
1689650303044	1963884
1689650303054	1964063
1689650303064	1964195
1689650303074	1964262
1689650303085	1964351
1689650303095	1964465
1689650303105	1964714
1689650303114	1964979
1689650303124	1965395
1689650303134	1965736
1689650303144	1966076
1689650303154	1966366
1689650303165	1966484
1689650303175	1966260
1689650303186	1966149
1689650303194	1965910
1689650303205	1965648
1689650303215	1965454
1689650303225	1965338
1689650303235	1965358
1689650303245	1965442
1689650303255	1965658
1689650303265	1965854
1689650303275	1965847
1689650303286	1965799
1689650303295	1965698
1689650303305	1965491
1689650303315	1965355
1689650303326	1965277
1689650303335	1965088
1689650303345	1964944
1689650303355	1964932
1689650303366	1964776
1689650303375	1964766
1689650303386	1964820
1689650303395	1964892
1689650303406	1964986
1689650303415	1965000
1689650303426	1964957
1689650303435	1964952
1689650303446	1964982
1689650303455	1965102
1689650303466	1965229
1689650303476	1965307
1689650303487	1965503
1689650303497	1965639
1689650303506	1965628
1689650303516	1965583
1689650303526	1965529
1689650303536	1965502
1689650303546	1965467
1689650303556	1965336
1689650303567	1965360
1689650303576	1965312
1689650303587	1965520
1689650303597	1965706
1689650303607	1965907
1689650303616	1966237
1689650303627	1966598
1689650303637	1966765
1689650303647	1966765
1689650303657	1966705
1689650303667	1966643
1689650303676	1966570
1689650303688	1966574
1689650303697	1966647
1689650303707	1966704
1689650303717	1966745
1689650303727	1966843
1689650303737	1966844
1689650303747	1966862
1689650303757	1966958
1689650303767	1966982
1689650303777	1966898
1689650303788	1966910
1689650303797	1966903
