#	deviceModel: SM-R900	deviceOs: 11
1689643919367	2097152
1689643919406	2228315
1689643919446	2228318
1689643919487	2228333
1689643919528	2228357
1689643919567	2228384
1689643919608	2228440
1689643919647	1964117
1689643919687	1964185
1689643919728	1964235
1689643919768	2055824
1689643919807	2055966
1689643919848	2056059
1689643919889	2056056
1689643919929	2120338
1689643919968	2120285
1689643920008	2120238
1689643920048	2120212
1689643920088	2120199
1689643920129	2120179
1689643920169	2120144
1689643920209	2120126
1689643920249	2120134
1689643920289	2120235
1689643920330	2120351
1689643920369	2120498
1689643920409	2120648
1689643920450	2120823
1689643920490	2120964
1689643920531	2121162
1689643920570	2121386
1689643920610	2121608
1689643920650	2121681
1689643920690	2121779
1689643920731	2121832
1689643920771	2121912
1689643920811	2121950
1689643920851	2122056
1689643920891	2122156
1689643920932	2122259
1689643920971	2122347
1689643921011	2122415
1689643921052	2122501
1689643921092	2122642
1689643921133	2122793
1689643921172	2122928
1689643921212	2123111
1689643921252	2123248
1689643921292	2123424
1689643921333	2123602
1689643921373	2123542
1689643921413	2123378
1689643921453	2123194
1689643921493	2123003
1689643921534	2122785
1689643921573	2122747
1689643921613	2122651
1689643921653	2122590
1689643921693	2122508
1689643921735	2122623
1689643921774	2122751
1689643921814	2122988
1689643921854	2123219
1689643921894	2123490
1689643921935	2123798
1689643921976	2124054
1689643922015	2124347
1689643922055	2124535
1689643922095	2124017
1689643922136	2123171
1689643922175	2123389
1689643922215	2123778
1689643922256	2124167
1689643922296	2124518
1689643922337	2124810
1689643922376	2125094
1689643922416	2125354
1689643922456	2125261
1689643922496	2125222
1689643922537	2125023
1689643922576	2124956
1689643922617	2125074
1689643922657	2125171
1689643922697	2125379
1689643922738	2125943
1689643922777	2126149
1689643922817	2126133
1689643922857	2126109
1689643922897	2125193
1689643922939	2124735
1689643922979	2124283
1689643923018	2123822
1689643923058	2123515
1689643923098	2123406
1689643923139	2123036
1689643923178	2122573
1689643923218	2122184
1689643923258	2121796
1689643923299	2121353
1689643923340	2121342
1689643923379	2121416
1689643923419	2121010
1689643923459	2120770
1689643923499	2120729
1689643923540	2120634
1689643923580	2120330
1689643923620	2120137
1689643923660	2118765
1689643923700	2118016
1689643923741	2117932
1689643923780	2117667
1689643923821	2117225
1689643923861	2116622
1689643923901	2115685
1689643923942	2114865
1689643923982	2114322
1689643924022	2113991
1689643924061	2113711
1689643924101	2113354
1689643924143	2113130
1689643924182	2113093
1689643924222	2113032
1689643924262	2112928
1689643924303	2112660
1689643924343	2112248
1689643924382	2111387
1689643924423	2110367
1689643924463	2109429
1689643924503	2108088
1689643924544	2107425
1689643924583	2106949
1689643924623	2106435
1689643924663	2105934
1689643924703	2105419
1689643924744	2104953
1689643924784	2104557
1689643924824	2104160
1689643924864	2103926
1689643924904	2103718
1689643924945	2103516
1689643924986	2103334
1689643925025	2103196
1689643925065	2102697
1689643925105	2101999
1689643925146	2101376
1689643925185	2100860
1689643925225	2100433
1689643925265	2100130
1689643925305	2100016
1689643925346	2099890
1689643925386	2099771
1689643925426	2099608
1689643925466	2099513
1689643925506	2099459
1689643925547	2099437
1689643925587	2099504
1689643925627	2099595
1689643925667	2099718
1689643925707	2099798
1689643925748	2099579
1689643925787	2099159
1689643925827	2098715
1689643925868	2098405
1689643925907	2098179
1689643925949	2097998
1689643925989	2097856
1689643926028	2097674
1689643926068	2097547
1689643926108	2097417
1689643926149	2097368
1689643926188	2097362
1689643926228	2097348
1689643926268	2097380
1689643926309	2097446
1689643926350	2097492
1689643926389	2097546
1689643926429	2097371
1689643926469	2096895
1689643926509	2096470
1689643926550	2096144
1689643926590	2095880
1689643926630	2095614
1689643926670	2095462
1689643926710	2095316
1689643926751	2095201
1689643926790	2095094
1689643926831	2095054
1689643926871	2095078
1689643926911	2095142
1689643926952	2095236
1689643926992	2095349
1689643927031	2095481
1689643927071	2095598
1689643927112	2095780
1689643927153	2095872
1689643927192	2095573
1689643927232	2095238
1689643927272	2095004
1689643927312	2094826
1689643927354	2094681
1689643927393	2094612
1689643927433	2094615
1689643927473	2094618
1689643927513	2094600
1689643927554	2094670
1689643927593	2094772
1689643927633	2094887
1689643927673	2095025
1689643927713	2095174
1689643927754	2095316
1689643927794	2095488
1689643927833	2095712
1689643927874	2095892
1689643927914	2096012
1689643927955	2095796
1689643927995	2095515
1689643928035	2095367
1689643928074	2095332
1689643928114	2095286
1689643928156	2095285
1689643928195	2095339
1689643928235	2095355
1689643928275	2095387
1689643928315	2095447
1689643928356	2095521
1689643928395	2095667
1689643928435	2095834
1689643928475	2095997
1689643928516	2096153
1689643928557	2096337
1689643928596	2096486
1689643928636	2096694
1689643928676	2096832
1689643928717	2096898
1689643928757	2096717
1689643928796	2096560
1689643928837	2096542
1689643928877	2096554
1689643928917	2096611
1689643928958	2096700
1689643928998	2096753
1689643929037	2096759
1689643929078	2096839
1689643929118	2096914
1689643929159	2097027
1689643929198	2097180
1689643929238	2097343
1689643929278	2097461
1689643929318	2097619
1689643929359	2097798
1689643929398	2097988
1689643929438	2098153
1689643929478	2098252
1689643929518	2098141
1689643929559	2098065
1689643929599	2098070
1689643929639	2098128
1689643929679	2098243
1689643929719	2098375
1689643929760	2098451
1689643929799	2098524
1689643929839	2098614
1689643929879	2098731
1689643929920	2098852
1689643929961	2098973
1689643930000	2099117
1689643930040	2099261
1689643930080	2099420
1689643930120	2099605
1689643930161	2099802
1689643930201	2099880
1689643930240	2099961
1689643930281	2099947
1689643930321	2099890
1689643930362	2099899
1689643930401	2099971
1689643930441	2100022
1689643930481	2100097
1689643930522	2100149
1689643930562	2100212
1689643930601	2100293
1689643930642	2100384
1689643930682	2100523
1689643930722	2100686
1689643930763	2100850
1689643930802	2101010
1689643930842	2101168
1689643930882	2101342
1689643930922	2101492
1689643930963	2101647
1689643931003	2101722
1689643931043	2101619
1689643931083	2101492
1689643931123	2101521
1689643931164	2101594
1689643931203	2101665
1689643931243	2101734
1689643931283	2101825
1689643931323	2101875
1689643931364	2101922
1689643931404	2102017
1689643931444	2102091
1689643931484	2102187
1689643931524	2102276
1689643931565	2102397
1689643931604	2102525
1689643931644	2102614
1689643931684	2102731
1689643931725	2102861
1689643931766	2103013
1689643931805	2103052
1689643931845	2102880
1689643931885	2102736
1689643931925	2102683
1689643931966	2102675
1689643932006	2102667
1689643932045	2102691
1689643932086	2102670
1689643932126	2102701
1689643932167	2102692
1689643932206	2102725
1689643932246	2102744
1689643932286	2102804
1689643932326	2102894
1689643932368	2102945
1689643932407	2103037
1689643932447	2103151
1689643932487	2103282
1689643932527	2103392
1689643932568	2103487
1689643932607	2103461
1689643932647	2103220
1689643932687	2102931
1689643932728	2102724
1689643932768	2102607
1689643932808	2102429
1689643932848	2102330
1689643932888	2102180
1689643932928	2102066
1689643932969	2101920
1689643933008	2101803
1689643933048	2101714
1689643933089	2101687
1689643933129	2101640
1689643933170	2101632
1689643933209	2101632
1689643933249	2101616
1689643933289	2101626
1689643933329	2101647
1689643933370	2101687
1689643933409	2101691
1689643933450	2101538
1689643933490	2101105
1689643933530	2100689
1689643933571	2100337
1689643933610	2100106
1689643933650	2099987
1689643933690	2099881
1689643933730	2099723
1689643933771	2099470
