#	deviceModel: SM-R900	deviceOs: 11
1689657105768	2643831
1689657105809	2254190
1689657105849	2253456
1689657105889	2252891
1689657105929	2252572
1689657105969	2252316
1689657106010	1987056
1689657106049	1986806
1689657106090	1986545
1689657106130	1986282
1689657106170	2068658
1689657106211	2068439
1689657106251	2068357
1689657106291	2100861
1689657106331	2101201
1689657106371	2101490
1689657106412	2101540
1689657106451	2100493
1689657106492	2098738
1689657106532	2096938
1689657106572	2095298
1689657106613	2093556
1689657106652	2091945
1689657106692	2090290
1689657106733	2088669
1689657106773	2087581
1689657106814	2086645
1689657106853	2086137
1689657106893	2085538
1689657106934	2084898
1689657106974	2083659
1689657107015	2083603
1689657107054	2083254
1689657107095	2082635
1689657107135	2081975
1689657107175	2081387
1689657107216	2081278
1689657107255	2081380
1689657107296	2081357
1689657107336	2081341
1689657107376	2081027
1689657107417	2080546
1689657107457	2080179
1689657107497	2079992
1689657107537	2079977
1689657107577	2080028
1689657107618	2080096
1689657107658	2080297
1689657107698	2080179
1689657107738	2078867
1689657107778	2077207
1689657107819	2075195
1689657107858	2073531
1689657107898	2072753
1689657107939	2072419
1689657107979	2072141
1689657108020	2071787
1689657108059	2071386
1689657108099	2071147
1689657108139	2070834
1689657108179	2070728
1689657108220	2070825
1689657108259	2070635
1689657108300	2070646
1689657108339	2070291
1689657108380	2069870
1689657108421	2068601
1689657108460	2066485
1689657108500	2065234
1689657108540	2065037
1689657108580	2065214
1689657108621	2064564
1689657108660	2063372
1689657108700	2062347
1689657108740	2061404
1689657108781	2060510
1689657108822	2060042
1689657108861	2059709
1689657108901	2059462
1689657108941	2059290
1689657108981	2059200
1689657109022	2059105
1689657109061	2059049
1689657109101	2058638
1689657109141	2057291
1689657109181	2055660
1689657109222	2054824
1689657109262	2054353
1689657109302	2053936
1689657109342	2053572
1689657109382	2053196
1689657109423	2052761
1689657109462	2052345
1689657109502	2052144
1689657109542	2052031
1689657109582	2052042
1689657109624	2052048
1689657109663	2052049
1689657109703	2052108
1689657109743	2052249
1689657109783	2052435
1689657109824	2051837
1689657109863	2050843
1689657109903	2050215
1689657109943	2050016
1689657109983	2049911
1689657110024	2049801
1689657110063	2049582
1689657110104	2049272
1689657110144	2048933
1689657110184	2048795
1689657110225	2048780
1689657110264	2048869
1689657110304	2049004
1689657110344	2049153
1689657110384	2049427
1689657110425	2049691
1689657110465	2049372
1689657110505	2048549
1689657110545	2048284
1689657110585	2048351
1689657110626	2048685
1689657110665	2049263
1689657110705	2049781
1689657110745	2050115
1689657110785	2050519
1689657110826	2051265
1689657110865	2053568
1689657110906	2057560
1689657110946	2061200
1689657110986	2065184
1689657111027	2068540
1689657111066	2071690
1689657111106	2073168
1689657111146	2072735
1689657111186	2071843
1689657111227	2073133
1689657111266	2075433
1689657111307	2077092
1689657111347	2078764
1689657111387	2080035
1689657111428	2081699
1689657111467	2083077
1689657111507	2084670
1689657111547	2085667
1689657111587	2085647
1689657111628	2086113
1689657111668	2086042
1689657111708	2085824
1689657111748	2084066
1689657111788	2083200
1689657111829	2082973
1689657111868	2083054
1689657111908	2083509
1689657111948	2083805
1689657111988	2084372
1689657112029	2084674
1689657112068	2085504
1689657112109	2085420
1689657112149	2085891
1689657112189	2085835
1689657112230	2086602
1689657112269	2087485
1689657112309	2088316
1689657112349	2088543
1689657112389	2088130
1689657112430	2088352
1689657112470	2088894
1689657112510	2089554
1689657112550	2090096
1689657112590	2090629
1689657112631	2091512
1689657112670	2092263
1689657112710	2092948
1689657112750	2093727
1689657112790	2094554
1689657112831	2095500
1689657112871	2096335
1689657112911	2097258
1689657112951	2097837
1689657112991	2098072
1689657113032	2098733
1689657113071	2099770
1689657113111	2099865
1689657113151	2100337
1689657113191	2100282
1689657113233	2100013
1689657113272	2099852
1689657113312	2099692
1689657113352	2099704
1689657113392	2099698
1689657113433	2100187
1689657113472	2100892
1689657113512	2101444
1689657113553	2101689
1689657113593	2099188
1689657113634	2097481
1689657113673	2096303
1689657113713	2096200
1689657113753	2096544
1689657113793	2096515
1689657113835	2097512
1689657113874	2096932
1689657113914	2096463
1689657113954	2095805
1689657113994	2095243
1689657114035	2095191
1689657114075	2095326
1689657114115	2095235
1689657114155	2095127
1689657114195	2094575
1689657114236	2093634
1689657114275	2092785
1689657114316	2092178
1689657114356	2091682
1689657114396	2091044
1689657114437	2090659
1689657114476	2090157
1689657114516	2089731
1689657114557	2089433
1689657114597	2089278
1689657114638	2089207
1689657114677	2089178
1689657114717	2089144
1689657114758	2089145
1689657114798	2088997
1689657114839	2088195
1689657114878	2087301
1689657114918	2086726
1689657114958	2086449
1689657114999	2086199
1689657115040	2085945
1689657115079	2085631
1689657115119	2085203
1689657115160	2084876
1689657115200	2084750
1689657115241	2084770
