#	deviceModel: SM-R900	deviceOs: 11
1689651265606	2238217
1689651265646	2238135
1689651265686	2237744
1689651265726	2237168
1689651265766	2236699
1689651265807	2236283
1689651265846	1568651
1689651265887	1568416
1689651265927	1568232
1689651265967	1972850
1689651266008	1972683
1689651266047	1972593
1689651266087	1972624
1689651266128	2068911
1689651266168	2069138
1689651266209	2070006
1689651266248	2071338
1689651266289	2073227
1689651266329	2074378
1689651266369	2074880
1689651266410	2074983
1689651266450	2075296
1689651266490	2074337
1689651266530	2074460
1689651266570	2075201
1689651266612	2075697
1689651266651	2075842
1689651266691	2075776
1689651266731	2075746
1689651266772	2075977
1689651266813	2076220
1689651266852	2076414
1689651266892	2076675
1689651266933	2077024
1689651266973	2076627
1689651267014	2075456
1689651267054	2073866
1689651267094	2074538
1689651267134	2072809
1689651267174	2070333
1689651267216	2069212
1689651267255	2068683
1689651267296	2068213
1689651267336	2067555
1689651267376	2067816
1689651267417	2068422
1689651267456	2069132
1689651267496	2069546
1689651267536	2069350
1689651267576	2070595
1689651267617	2071840
1689651267657	2072524
1689651267697	2072413
1689651267737	2072849
1689651267777	2073447
1689651267818	2074340
1689651267857	2075764
1689651267898	2076358
1689651267938	2077032
1689651267978	2077479
1689651268019	2077582
1689651268059	2077443
1689651268099	2077146
1689651268139	2076377
1689651268179	2075792
1689651268220	2075793
1689651268260	2076039
1689651268300	2075784
1689651268340	2075693
1689651268380	2074945
1689651268422	2074512
1689651268461	2074400
1689651268501	2074181
1689651268541	2074050
1689651268582	2074391
1689651268623	2074825
1689651268662	2075804
1689651268702	2076584
1689651268743	2077542
1689651268783	2077883
1689651268824	2078117
1689651268863	2078515
1689651268904	2078810
1689651268944	2078486
1689651268984	2078765
1689651269026	2078586
1689651269065	2077977
1689651269105	2077792
1689651269146	2077416
1689651269186	2077049
1689651269227	2076848
1689651269266	2076713
1689651269306	2076744
1689651269346	2076770
1689651269386	2076825
1689651269427	2076915
1689651269466	2077361
1689651269507	2077820
1689651269547	2078474
1689651269587	2079046
1689651269628	2079516
1689651269667	2080017
1689651269707	2080828
1689651269748	2080827
1689651269788	2079574
1689651269829	2078492
1689651269868	2076650
1689651269908	2074994
1689651269949	2073734
1689651269989	2073893
1689651270030	2074079
1689651270069	2073122
1689651270110	2072312
1689651270150	2071852
1689651270190	2071496
1689651270232	2071037
1689651270271	2070704
1689651270311	2070417
1689651270351	2069984
1689651270391	2069693
1689651270433	2069374
1689651270472	2069154
1689651270512	2069029
1689651270553	2068191
1689651270593	2067137
1689651270634	2066276
1689651270673	2065688
1689651270714	2065139
1689651270754	2064554
1689651270794	2064127
1689651270836	2063799
1689651270875	2063534
1689651270915	2063254
1689651270956	2063184
1689651270996	2063064
1689651271037	2063009
1689651271076	2063029
1689651271116	2063176
1689651271156	2063515
1689651271196	2064438
1689651271237	2065646
1689651271276	2067110
1689651271317	2068380
1689651271357	2069382
1689651271397	2070389
1689651271438	2071440
1689651271478	2072066
1689651271518	2072035
1689651271558	2072185
1689651271598	2073409
1689651271639	2073646
1689651271679	2073335
1689651271719	2072656
1689651271759	2071807
1689651271799	2070382
1689651271840	2069646
1689651271880	2069161
1689651271920	2069190
1689651271960	2069149
1689651272001	2069601
1689651272042	2070623
1689651272081	2072128
1689651272121	2075547
1689651272162	2077305
1689651272202	2080855
1689651272243	2084564
1689651272283	2085738
1689651272323	2085760
1689651272363	2084382
1689651272403	2084412
1689651272445	2085115
1689651272484	2086599
1689651272524	2086877
1689651272565	2086029
1689651272605	2086053
1689651272646	2086772
1689651272685	2086743
1689651272725	2086198
1689651272766	2085298
1689651272806	2084587
1689651272847	2083859
1689651272886	2083147
1689651272926	2082446
1689651272966	2081332
1689651273006	2080344
1689651273047	2080035
1689651273087	2080622
1689651273127	2081761
1689651273167	2081038
1689651273207	2080881
1689651273248	2080507
1689651273288	2079067
1689651273328	2078404
1689651273368	2079551
1689651273408	2080803
1689651273449	2081598
1689651273489	2081995
1689651273529	2082946
1689651273569	2083895
1689651273609	2082999
1689651273650	2081842
1689651273690	2081278
1689651273730	2080917
1689651273770	2081415
1689651273811	2082850
1689651273852	2083708
1689651273891	2084980
1689651273931	2086610
1689651273972	2088308
1689651274012	2089834
1689651274053	2092094
1689651274093	2094360
1689651274133	2096044
1689651274173	2097745
1689651274214	2099619
1689651274255	2100941
1689651274294	2102465
1689651274335	2103795
1689651274375	2104596
1689651274415	2105426
1689651274456	2105979
1689651274495	2106493
1689651274536	2106795
1689651274576	2107090
1689651274616	2107434
1689651274657	2107493
1689651274696	2107444
1689651274736	2107332
1689651274776	2107108
1689651274817	2106684
1689651274858	2106268
1689651274897	2105863
1689651274937	2105895
1689651274977	2105770
1689651275018	2105732
1689651275059	2105478
1689651275098	2104733
1689651275138	2103601
1689651275179	2102951
1689651275219	2102664
1689651275260	2102660
1689651275299	2102908
1689651275339	2103473
1689651275380	2103819
1689651275420	2104143
1689651275461	2106403
1689651275500	2107668
1689651275541	2107829
1689651275581	2107507
1689651275621	2105335
1689651275662	2102596
1689651275702	2100519
1689651275742	2099494
1689651275782	2098097
1689651275822	2096560
1689651275864	2094850
1689651275903	2092315
1689651275943	2089964
1689651275984	2087806
1689651276024	2085811
1689651276065	2084291
1689651276105	2083125
1689651276145	2082763
1689651276185	2082601
